Datetime,Energy_Demand_MW,Hour,DayOfWeek,Month,DayOfYear,WeekOfYear,Quarter,Lag_1h,Lag_24h,Lag_168h,Rolling_Mean_24h,Rolling_Std_24h
2022-01-08 00:00:00,15877.305941998564,0,5,1,8,1,1,17671.939356019408,17629.94139712421,16248.357076505616,17532.83393120516,2159.4078491447754
2022-01-08 01:00:00,16399.589053128817,1,5,1,8,1,1,15877.305941998564,18667.368571196217,16707.32498472197,17438.34311795235,2157.2200582070773
2022-01-08 02:00:00,17055.242785187238,2,5,1,8,1,1,16399.589053128817,18381.52464456096,17823.844269050347,17383.08137381178,2148.979986081058
2022-01-08 03:00:00,17713.415201076925,3,5,1,8,1,1,17055.242785187238,18961.092037017504,18882.835271763655,17331.09483898092,2124.0935145039193
2022-01-08 04:00:00,18559.525356646263,4,5,1,8,1,1,17713.415201076925,20359.046994161767,18480.99952399165,17256.114770751108,2042.7645799549953
2022-01-08 05:00:00,19068.353466275526,5,5,1,8,1,1,18559.525356646263,20546.269815483796,18780.709000392613,17194.53492286743,1959.8633822943227
2022-01-08 06:00:00,19138.34539966501,6,5,1,8,1,1,19068.353466275526,20625.24642517294,19789.606407753694,17132.58071347127,1868.0492144749182
2022-01-08 07:00:00,19311.369103385216,7,5,1,8,1,1,19138.34539966501,20571.001583615693,19281.49484344366,17080.096026794996,1783.0024788301814
2022-01-08 08:00:00,18604.57715729227,8,5,1,8,1,1,19311.369103385216,19758.06385056407,18363.33901838584,17032.034081242007,1722.1869633681115
2022-01-08 09:00:00,18848.087382138303,9,5,1,8,1,1,18604.57715729227,19737.447192140145,18392.600365352628,16994.977422491927,1670.2274686840954
2022-01-08 10:00:00,17367.671583381023,10,5,1,8,1,1,18848.087382138303,19146.53623664934,17268.291153593767,16920.85806193908,1608.9427075290412
2022-01-08 11:00:00,18136.541718602373,11,5,1,8,1,1,17367.671583381023,17919.28142629438,16543.592258522433,16929.91057411858,1615.4026744961702
2022-01-08 12:00:00,16312.833673882504,12,5,1,8,1,1,18136.541718602373,18432.88725557238,16120.981135783017,16841.575008214837,1587.3639932238482
2022-01-08 13:00:00,14794.964086484297,13,5,1,8,1,1,16312.833673882504,16960.45932514833,14266.902742363538,16751.34603993717,1640.9535226913301
2022-01-08 14:00:00,13964.553750969444,14,5,1,8,1,1,14794.964086484297,15404.348251398676,13637.541083743483,16691.354602419287,1716.9004876238864
2022-01-08 15:00:00,14119.915864061952,15,5,1,8,1,1,13964.553750969444,15706.956460757274,13597.535891819873,16625.227910890313,1785.6493068362222
2022-01-08 16:00:00,13290.192395983759,16,5,1,8,1,1,14119.915864061952,14414.582953533023,12895.508228479472,16578.37830432576,1859.3983690858572
2022-01-08 17:00:00,13459.22276817884,17,5,1,8,1,1,13290.192395983759,14995.764823004021,13259.346187430432,16514.355718708044,1940.9256556357295
2022-01-08 18:00:00,13236.618812286772,18,5,1,8,1,1,13459.22276817884,15079.297789503702,12545.987962239395,16437.577427990673,2034.3583054245548
2022-01-08 19:00:00,13065.808064804358,19,5,1,8,1,1,13236.618812286772,14191.88136195694,12396.07067046515,16390.65770727598,2100.3204539604103
2022-01-08 20:00:00,12978.52692961248,20,5,1,8,1,1,13065.808064804358,15383.611853268845,14134.74817310746,16290.445835456967,2205.2155099670736
2022-01-08 21:00:00,13121.256044097425,21,5,1,8,1,1,12978.52692961248,15585.070119908607,13765.791506197089,16187.786915631501,2295.0012956904875
2022-01-08 22:00:00,14276.742523966488,22,5,1,8,1,1,13121.256044097425,16411.030079997243,14533.764102343961,16098.858267463553,2327.100880040882
2022-01-08 23:00:00,15651.742261854171,23,5,1,8,1,1,14276.742523966488,17671.939356019408,14511.168771585708,16014.68338854,2304.1497951088068
2022-01-09 00:00:00,16107.046872065102,0,6,1,9,1,1,15651.742261854171,15877.305941998564,15727.80863773741,16024.255927292774,2304.0314729056367
2022-01-09 01:00:00,16153.587745951569,1,6,1,9,1,1,16107.046872065102,16399.589053128817,16831.918430162495,16014.005872827054,2302.836000923021
2022-01-09 02:00:00,17586.59046292559,2,6,1,9,1,1,16153.587745951569,17055.242785187238,16924.503211288848,16036.145359399487,2315.7994028258922
2022-01-09 03:00:00,18313.979033424064,3,6,1,9,1,1,17586.59046292559,17713.415201076925,18309.16935273248,16061.168852413952,2337.8509457528057
2022-01-09 04:00:00,18156.14749325275,4,6,1,9,1,1,18313.979033424064,18559.525356646263,18297.756866393913,16044.361441439221,2320.4942555470743
2022-01-09 05:00:00,18974.64003183997,5,6,1,9,1,1,18156.14749325275,19068.353466275526,18751.930603970566,16040.456715004404,2315.2574417506726
2022-01-09 06:00:00,19029.104359223,6,6,1,9,1,1,18974.64003183997,19138.34539966501,18699.1466938853,16035.905004985987,2309.0012399641723
2022-01-09 07:00:00,18326.29232995189,7,6,1,9,1,1,19029.104359223,19311.369103385216,19823.916571121674,15994.860139426266,2256.4012458888424
2022-01-09 08:00:00,18776.969891527457,8,6,1,9,1,1,18326.29232995189,18604.57715729227,18591.32759898435,16002.0431700194,2265.326973744712
2022-01-09 09:00:00,18401.71260674376,9,6,1,9,1,1,18776.969891527457,18848.087382138303,17592.464879081694,15983.444221044627,2242.6632895808807
2022-01-09 10:00:00,18041.52562158764,10,6,1,9,1,1,18401.71260674376,17367.671583381023,17911.272456051596,16011.521472636568,2264.8551368515855
2022-01-09 11:00:00,17303.358161325013,11,6,1,9,1,1,18041.52562158764,18136.541718602373,16166.035310322051,15976.805491083347,2237.0816430914138
2022-01-09 12:00:00,15311.165316021454,12,6,1,9,1,1,17303.358161325013,16312.833673882504,16104.431797502377,15935.069309505801,2239.8820279615493
2022-01-09 13:00:00,14754.630344734876,13,6,1,9,1,1,15311.165316021454,14794.964086484297,14243.70780275255,15933.38873693291,2240.7895825730975
2022-01-09 14:00:00,14757.51763360433,14,6,1,9,1,1,14754.630344734876,13964.553750969444,13835.906975550784,15966.428898709362,2216.2084241392313
2022-01-09 15:00:00,14135.572631896464,15,6,1,9,1,1,14757.51763360433,14119.915864061952,13977.110274374922,15967.081264035804,2215.6434828466954
2022-01-09 16:00:00,13659.447631799707,16,6,1,9,1,1,14135.572631896464,13290.192395983759,13771.157078644388,15982.466898861465,2197.4541270710274
2022-01-09 17:00:00,15028.588266460156,17,6,1,9,1,1,13659.447631799707,13459.22276817884,13187.90666172778,16047.85712795652,2141.74866655868
2022-01-09 18:00:00,13285.445255346584,18,6,1,9,1,1,15028.588266460156,13236.618812286772,12942.17585880588,16049.891563084013,2138.9835885547527
2022-01-09 19:00:00,13670.005341223094,19,6,1,9,1,1,13285.445255346584,13065.808064804358,12951.67067333815,16075.06644960146,2105.630771184746
2022-01-09 20:00:00,13878.924670393284,20,6,1,9,1,1,13670.005341223094,12978.52692961248,12662.66279346297,16112.583022133993,2055.4843246391974
2022-01-09 21:00:00,14204.375282093257,21,6,1,9,1,1,13878.924670393284,13121.256044097425,13518.757552243003,16157.71299038382,1998.0392797207578
2022-01-09 22:00:00,14342.365377679826,22,6,1,9,1,1,14204.375282093257,14276.742523966488,14269.680614520104,16160.447275955208,1995.39643858662
2022-01-09 23:00:00,15603.02747493907,23,6,1,9,1,1,14342.365377679826,15651.742261854171,15752.103977801893,16158.417493167079,1995.961106036204
2022-01-10 00:00:00,17113.587392731213,0,0,1,10,2,1,15603.02747493907,16107.046872065102,17671.80914478423,16200.356681528167,2005.3872449462858
2022-01-10 01:00:00,18158.047831937558,1,0,1,10,2,1,17113.587392731213,16153.587745951569,17394.937057626197,16283.875851777584,2044.7095096574346
2022-01-10 02:00:00,18757.31822608545,2,0,1,10,2,1,18158.047831937558,17586.59046292559,19162.041984697396,16332.656175242577,2090.5896178524713
2022-01-10 03:00:00,19662.257413252806,3,0,1,10,2,1,18757.31822608545,18313.979033424064,19428.779203351485,16388.834441068775,2163.0077091949447
2022-01-10 04:00:00,21255.405494690072,4,0,1,10,2,1,19662.257413252806,18156.14749325275,19759.615211200336,16517.970191128665,2356.9300910084544
2022-01-10 05:00:00,19464.14488257133,5,0,1,10,2,1,21255.405494690072,18974.64003183997,20703.61562328764,16538.366226575803,2381.1075436121655
2022-01-10 06:00:00,20843.130095187258,6,0,1,10,2,1,19464.14488257133,19029.104359223,21015.499761247975,16613.950632240983,2489.9151858232226
2022-01-10 07:00:00,19591.41954327238,7,0,1,10,2,1,20843.130095187258,18326.29232995189,20863.417538425303,16666.664266129334,2540.6187463013894
2022-01-10 08:00:00,19862.1102784586,8,0,1,10,2,1,19591.41954327238,18776.969891527457,19678.467449742,16711.87844891813,2589.00286977063
2022-01-10 09:00:00,20165.795642043326,9,0,1,10,2,1,19862.1102784586,18401.71260674376,19466.714155634036,16785.381908722284,2663.047151880457
2022-01-10 10:00:00,19032.140009547733,10,0,1,10,2,1,20165.795642043326,18041.52562158764,19165.63171570178,16826.65750822062,2690.8944673836536
2022-01-10 11:00:00,17737.58474634291,11,0,1,10,2,1,19032.140009547733,17303.358161325013,18764.22969886874,16844.750282596364,2695.6945410797052
2022-01-10 12:00:00,17142.348145370015,12,0,1,10,2,1,17737.58474634291,15311.165316021454,17260.412881077355,16921.049567152553,2676.2453586338424
2022-01-10 13:00:00,17063.341739159776,13,0,1,10,2,1,17142.348145370015,14754.630344734876,16630.71337636053,17017.245875253593,2636.1816701380353
2022-01-10 14:00:00,15634.816684141431,14,0,1,10,2,1,17063.341739159776,14757.51763360433,15446.832512996985,17053.8000023593,2609.4319488005112
2022-01-10 15:00:00,15486.908951231348,15,0,1,10,2,1,15634.816684141431,14135.572631896464,14780.576344400024,17110.105682331592,2557.7938512364963
2022-01-10 16:00:00,14924.70970859859,16,0,1,10,2,1,15486.908951231348,13659.447631799707,15308.186699843782,17162.824935531546,2495.8689936812816
2022-01-10 17:00:00,14276.422347329886,17,0,1,10,2,1,14924.70970859859,15028.588266460156,15280.342535418207,17131.484688901117,2528.344598911267
